역명n,총승하차,역위도,역경도
압구정,1873935,37.526169,127.028502
애오개,387833,37.553592,126.956733
약수,989048,37.554554,127.010858
양재,2164193,37.48458,127.03423
양천구청,413947,37.5123294,126.865593
양천향교,639923,37.568333,126.841389
양평,462673,37.525614,126.886177
어린이대공원,1195073,37.547962,127.07465
언주,633877,37.507287,127.033868
여의나루,1147237,37.527045,126.932807
여의도,3230008,37.521678,126.924318
역삼,2677835,37.500658,127.03643
역촌,253041,37.60605,126.922764
연신내,2270925,37.619295,126.920959
염창,1054747,37.546944,126.874722
영등포구청,1611272,37.525766,126.896627
영등포시장,718263,37.52276,126.905143
오금,582708,37.502288,127.128344
오목교,1322961,37.524557,126.875049
옥수,591038,37.541653,127.017303
온수,565997,37.492059,126.823294
올림픽공원,1009560,37.516217,127.130957
왕십리,1294341,37.561289,127.0370615
용답,192700,37.562066,127.05087863
용두,136134,37.574012,127.03811
용마산,356418,37.573752,127.086802
우장산,916198,37.548864,126.83633
월곡,718678,37.60192,127.041492
월드컵경기장,365864,37.569439,126.899077
을지로3가,2278668,37.566292,126.990873
을지로4가,1270751,37.566611,126.997622
을지로입구,3120459,37.565998,126.982569
응암,1080174,37.59859,126.915583
이대,1152570,37.556734,126.945897
이수,1026653,37.485258,126.981766
이촌,823844,37.52919,126.9679818
이태원,867656,37.534485,126.994369
일원,640991,37.48389,127.08416
자양,811344,37.531558,127.066714
잠실,6344371,37.513305,127.100129
잠실나루,907470,37.520688,127.103836
잠실새내,1479260,37.511653,127.086224
잠원,438111,37.512989,127.011613
장승배기,576184,37.504845,126.939025
장암,129230,37.70015,127.053126
장지,985220,37.478609,127.126229
장한평,1159809,37.561438,127.064601
제기동,1004042,37.578116,127.034902
종각,2360186,37.570203,126.983116
종로3가,3466328,37.570429,126.992095
종로5가,1472411,37.570971,127.0019
종합운동장,1594399,37.511128,127.073841
중계,854713,37.645052,127.064084
중곡,633910,37.565877,127.084291
중앙보훈병원,691412,37.528807,127.148488
중화,705185,37.602604,127.079254
증미,426813,37.55785,126.861067
증산,566251,37.583989,126.909785
지축,459078,37.648151,126.913751
창동,1751525,37.653315,127.048304
창신,205355,37.579772,127.015246
천왕,685919,37.486699,126.838684
천호,2497461,37.538566,127.123539
철산,1357140,37.47616,126.868217
청구,426438,37.560237,127.01379
청담,1071525,37.519097,127.051851
청량리,1513451,37.580148,127.045063
총신대입구,1239983,37.487521,126.982309
충무로,1945993,37.561382,126.994173
충정로,883384,37.559742,126.964455
태릉입구,1135346,37.617319,127.074741
하계,1060819,37.636363,127.067999
하남검단산,428194,37.539729,127.223427
하남시청,538461,37.541723,127.206901
하남풍산,287770,37.552201,127.203897
학동,1233051,37.514262,127.031738
학여울,158149,37.496787,127.0708601
한강진,711921,37.53956,127.001729
한성대입구,983073,37.58838,127.005951
한성백제,214035,37.516369,127.116211
한양대,863594,37.555758,127.0436594
합정,2948444,37.550025,126.914557
행당,448758,37.557297,127.029482
혜화,2465599,37.582116,127.001929
홍대입구,5008267,37.556748,126.923643
홍제,1114040,37.588851,126.944092
화곡,1663518,37.541585,126.840436
화랑대,652533,37.619875,127.084106
회현,1815476,37.558698,126.978346
효창공원앞,462039,37.539279,126.961348
흑석,604740,37.508889,126.963611
