연번,발생일,사고유형,발생역,발생시간
121,2025-09-15,열차내 사고,대림(7)역,14:17
122,2025-09-15,역구내 사고,을지로3가(3)역,08:24
123,2025-09-15,승강설비관련,광명사거리역,14:17
124,2025-09-14,역구내 사고,신도림역,11:09
125,2025-09-14,출입문관련,서초역,16:28
126,2025-09-13,열차내 사고,시청(2)역,11:42
127,2025-09-13,발빠짐,발산역,09:55
128,2025-09-11,발빠짐,서울역,07:17
129,2025-09-11,역구내 사고,미아역,18:18
130,2025-09-11,열차내 사고,신도림역,18:50
131,2025-09-11,열차내 사고,역삼역,18:17
132,2025-09-11,승강설비관련,선릉(2)역,14:28
133,2025-09-11,열차내 사고,성수역,09:25
134,2025-09-11,출입문관련,동대문역사문화공원(4)역,12:47
135,2025-09-10,역구내 사고,까치산(5)역,09:10
136,2025-09-10,출입문관련,동대문역사문화공원(5)역,13:20
137,2025-09-10,발빠짐,압구정역,18:12
138,2025-09-09,기타,토목사업소,14:30
139,2025-09-09,역구내 사고,지축역,18:43
140,2025-09-09,승강설비관련,구의역,08:52
141,2025-09-09,열차내 사고,천호(8)역,11:07
142,2025-09-09,역구내 사고,모란역,13:24
143,2025-09-08,출입문관련,선릉(2)역,08:32
144,2025-09-08,역구내 사고,사당(2)역,20:30
145,2025-09-08,역구내 사고,불암산역,08:24
146,2025-09-06,출입문관련,아차산역,09:23
147,2025-09-06,승강설비관련,응암역,09:26
148,2025-09-05,출입문관련,노원(4)역,15:00
149,2025-09-04,출입문관련,시청(1)역,07:59
150,2025-09-04,역구내 사고,공릉역,16:55
151,2025-09-03,열차내 사고,수락산역,15:56
152,2025-09-03,출입문관련,고덕역,17:08
153,2025-09-02,출입문관련,창동역,18:13
154,2025-09-02,출입문관련,천호(5)역,08:42
155,2025-09-01,승강설비관련,마곡역,17:55
156,2025-09-01,승강설비관련,태릉입구(7)역,06:38
157,2025-08-31,역구내 사고,천호(5)역,18:52
158,2025-08-31,승강설비관련,약수(3)역,16:18
159,2025-08-30,승강설비관련,성수역,12:39
160,2025-08-29,출입문관련,길동역,17:03
161,2025-08-29,열차내 사고,고덕역,14:41
162,2025-08-27,출입문관련,고속터미널(7)역,17:44
163,2025-08-27,출입문관련,산본역,13:53
164,2025-08-27,출입문관련,태릉입구(6)역,15:23
165,2025-08-26,발빠짐,서대문역,22:31
166,2025-08-26,출입문관련,구의역,16:28
167,2025-08-25,역구내 사고,증산역,18:40
168,2025-08-25,출입문관련,천왕역,07:32
169,2025-08-24,역구내 사고,천호(5)역,16:46
170,2025-08-24,출입문관련,코레일 이첩,18:34
171,2025-08-23,출입문관련,충무로(3)역,14:17
172,2025-08-23,출입문관련,충무로(3)역,14:17
173,2025-08-22,출입문관련,건대입구(2)역,21:14
174,2025-08-21,출입문관련,올림픽공원역,13:08
175,2025-08-20,역구내 사고,응암역,11:59
176,2025-08-20,열차내 사고,제8027열차,07:18
177,2025-08-19,승강설비관련,제4225열차,11:40
178,2025-08-19,열차내 사고,동작터널,07:23
179,2025-08-19,출입문관련,제5620열차,14:26
180,2025-08-19,출입문관련,제7083열차,08:01
181,2025-08-18,열차내 사고,건대입구~구의역간 고가 하부,15:27
182,2025-08-16,역구내 사고,S4609열차,15:30
183,2025-08-16,열차내 사고,제8068열차,17:38
184,2025-08-16,출입문관련,상계역,09:21
185,2025-08-15,역구내 사고,신대방역,16:38
186,2025-08-15,출입문관련,명동역,20:54
187,2025-08-14,역구내 사고,신금호역,08:25
188,2025-08-14,열차내 사고,잠실새내역,15:14
189,2025-08-14,열차내 사고,코레일 이첩,16:30
190,2025-08-13,승강설비관련,봉화산역,07:35
191,2025-08-13,역구내 사고,봉천역,08:03
192,2025-08-13,역구내 사고,을지로3가(2)역,18:30
193,2025-08-13,출입문관련,오금(5)역,06:44
194,2025-08-13,역구내 사고,봉천역,11:52
195,2025-08-13,출입문관련,충무로(3)역,11:17
196,2025-08-11,출입문관련,가산디지털단지(7)역,22:27
197,2025-08-11,출입문관련,삼성역,21:43
198,2025-08-11,열차내 사고,사당(2)역,21:01
199,2025-08-11,출입문관련,노원(4)역,08:52
200,2025-08-08,열차내 사고,창동역,16:04
201,2025-08-08,발빠짐,철산역,07:44
202,2025-08-07,열차내 사고,코레일 이첩,19:30
203,2025-08-07,열차내 사고,공덕(5)역,13:58
204,2025-08-06,출입문관련,부평역,09:34
205,2025-08-06,역구내 사고,공덕(5)역,16:06
206,2025-08-05,출입문관련,강동역,18:32
207,2025-08-05,출입문관련,서대문역,08:18
208,2025-08-05,출입문관련,회현역,17:35
209,2025-08-04,역구내 사고,서초역,09:15
210,2025-08-03,열차내 사고,돌곶이역,09:25
211,2025-08-03,열차내 사고,돌곶이역,09:25
212,2025-08-02,역구내 사고,종합운동장역,13:00
213,2025-08-02,출입문관련,김포공항역,14:30
214,2025-08-01,출입문관련,대림(7)역,07:40
215,2025-07-31,열차내 사고,종로3가(5)역,11:46
216,2025-07-31,열차내 사고,성신여대입구역,14:45
217,2025-07-31,출입문관련,을지로4가(2)역,06:51
218,2025-07-31,출입문관련,시청(2)역,17:37
219,2025-07-30,출입문관련,충무로(4)역,18:28
220,2025-07-30,발빠짐,신금호역,08:26
221,2025-07-29,역구내 사고,중화역,18:55
222,2025-07-29,발빠짐,고속터미널(7)역,22:46
223,2025-07-28,열차내 사고,화곡역,08:47
224,2025-07-28,발빠짐,응암역,06:41
225,2025-07-26,출입문관련,정발산역,16:19
226,2025-07-26,승강설비관련,사당(2)역,18:04
227,2025-07-25,열차내 사고,태릉입구(7)역,18:51
228,2025-07-25,발빠짐,매봉역,14:25
229,2025-07-24,역구내 사고,종로5가역,17:46
230,2025-07-24,출입문관련,잠실(2)역,18:39
231,2025-07-24,역구내 사고,마포역,20:38
232,2025-07-24,발빠짐,회현역,22:53
233,2025-07-23,출입문관련,목동역,18:38
234,2025-07-23,출입문관련,명일역,06:49
235,2025-07-22,발빠짐,고속터미널(7)역,19:18
236,2025-07-22,출입문관련,공덕(5)역,18:30
237,2025-07-21,승강설비관련,종로3가(5)역,09:29
238,2025-07-21,역구내 사고,청담역,14:30
239,2025-07-21,발빠짐,회현역,20:58
240,2025-07-21,역구내 사고,동대문(4)역,06:35
241,2025-07-20,역구내 사고,명일역,10:44
242,2025-07-20,출입문관련,당산역,16:13
243,2025-07-18,승강설비관련,상왕십리역,09:33
244,2025-07-17,열차내 사고,구파발(3)역,07:53
245,2025-07-17,역구내 사고,노원(7)역,18:38
246,2025-07-17,역구내 사고,이대역,20:40
247,2025-07-17,역구내 사고,잠실새내역,08:55
248,2025-07-16,역구내 사고,암사역,12:17
249,2025-07-16,발빠짐,연신내(6)역,12:56
250,2025-07-15,출입문관련,동대문역사문화공원(4)역,11:49
251,2025-07-14,열차내 사고,종로3가(3)역,18:05
252,2025-07-14,역구내 사고,가산디지털단지(7)역,20:50
253,2025-07-14,출입문관련,신당(2)역,07:45
254,2025-07-14,출입문관련,응암역,08:39
255,2025-07-14,출입문관련,을지로4가(5)역,09:22
256,2025-07-13,출입문관련,온수(1)역,20:19
257,2025-07-13,출입문관련,군자(5)역,14:44
258,2025-07-12,역구내 사고,천호(5)역,16:02
259,2025-07-12,출입문관련,올림픽공원역,10:19
260,2025-07-11,출입문관련,부천역,13:57
261,2025-07-11,열차내 사고,증산역,06:04
262,2025-07-11,출입문관련,영등포구청(2)역,10:15
263,2025-07-11,승강설비관련,종로3가(1)역,07:12
264,2025-07-11,발빠짐,아현역,18:37
265,2025-07-11,출입문관련,방화역,10:02
266,2025-07-10,역구내 사고,회현역,15:30
267,2025-07-09,역구내 사고,동대문(4)역,18:39
268,2025-07-09,출입문관련,도봉산(7)역,14:21
269,2025-07-08,출입문관련,까치산(5)역,19:39
270,2025-07-08,역구내 사고,동대문역사문화공원(2)역,05:35
271,2025-07-07,열차내 사고,불암산역,12:11
272,2025-07-07,승강설비관련,둔촌동역,11:08
273,2025-07-07,승강설비관련,방이역,11:59
274,2025-07-07,열차내 사고,이수(4)역,15:45
275,2025-07-06,승강설비관련,까치산(5)역,18:56
276,2025-07-06,발빠짐,서울(4)역,20:38
277,2025-07-05,출입문관련,삼성역,14:06
278,2025-07-04,출입문관련,여의나루역,20:37
279,2025-07-04,열차내 사고,대림(2)역,08:20
280,2025-07-04,열차내 사고,사당(2)역,09:02
281,2025-07-04,열차내 사고,방배역,09:10
282,2025-07-04,출입문관련,군자(7)역,16:11
283,2025-07-04,열차내 사고,방배역,09:10
284,2025-07-03,역구내 사고,잠실새내역,17:42
285,2025-07-03,발빠짐,신촌역,15:03
286,2025-07-03,열차내 사고,강남역,17:30
287,2025-07-03,출입문관련,모란역,12:18
288,2025-07-03,출입문관련,발산역,18:33
289,2025-07-03,열차내 사고,삼성역,08:42
290,2025-07-03,출입문관련,창동역,17:26
291,2025-07-03,열차내 사고,사당(2)역,17:29
292,2025-07-02,역구내 사고,동대문역사문화공원(5)역,15:30
293,2025-07-02,출입문관련,대림(7)역,14:46
294,2025-07-02,출입문관련,신림역,08:54
295,2025-07-02,역구내 사고,오금(5)역,18:28
296,2025-07-01,발빠짐,목동역,15:15
297,2025-07-01,역구내 사고,신촌역,15:27
298,2025-07-01,열차내 사고,신정,09:16
299,2025-07-01,승강설비관련,상왕십리역,09:12
300,2025-06-30,승강설비관련,명동역,22:27
301,2025-06-28,출입문관련,종로5가역,10:56
302,2025-06-28,발빠짐,고속터미널(7)역,20:39
303,2025-06-28,출입문관련,혜화역,19:32
304,2025-06-26,열차내 사고,종로3가(3)역,18:11
305,2025-06-26,역구내 사고,창동역,08:54
306,2025-06-26,열차내 사고,병점역,10:00
307,2025-06-26,출입문관련,구의역,15:58
308,2025-06-26,출입문관련,동대문역사문화공원(5)역,07:40
309,2025-06-24,승강설비관련,신사역,21:55
310,2025-06-24,승강설비관련,양재역,18:30
311,2025-06-23,승강설비관련,여의도역,08:15
312,2025-06-23,출입문관련,방화역,09:48
313,2025-06-22,열차내 사고,명일역,08:54
314,2025-06-22,승강설비관련,영등포시장역,22:38
315,2025-06-22,역구내 사고,신당(2)역,12:53
316,2025-06-21,역구내 사고,제기동역,13:33
317,2025-06-20,역구내 사고,충정로역,11:15
318,2025-06-20,역구내 사고,사당(4)역,07:42
319,2025-06-20,역구내 사고,올림픽공원역,17:27
320,2025-06-20,역구내 사고,동묘앞(1)역,07:42
321,2025-06-20,출입문관련,발산역,11:12
322,2025-06-20,역구내 사고,모란역,10:37
323,2025-06-20,역구내 사고,양천구청역,10:49
324,2025-06-20,역구내 사고,한성대입구역,11:04
325,2025-06-20,열차내 사고,사당(2)역,16:25
326,2025-06-19,승강설비관련,사당(2)역,19:37
327,2025-06-18,역구내 사고,회현역,14:20
328,2025-06-17,승강설비관련,동대문(4)역,15:03
329,2025-06-16,역구내 사고,수락산역,05:58
330,2025-06-15,승강설비관련,신림역,21:35
331,2025-06-14,역구내 사고,수락산역,17:35
332,2025-06-14,출입문관련,방이역,10:46
333,2025-06-14,역구내 사고,공덕(6)역,08:18
334,2025-06-13,역구내 사고,교대(2)역,14:56
335,2025-06-13,발빠짐,봉천역,22:08
336,2025-06-12,승강설비관련,새절역,09:10
337,2025-06-12,열차내 사고,코레일 이첩,05:46
338,2025-06-12,발빠짐,도봉산(7)역,17:24
339,2025-06-12,출입문관련,여의도역,19:11
340,2025-06-11,승강설비관련,경찰병원역,07:53
341,2025-06-11,출입문관련,녹번역,17:13
342,2025-06-10,열차내 사고,남양주도시공사 이첩,19:50
343,2025-06-10,열차내 사고,단대오거리역,08:14
344,2025-06-09,열차내 사고,모란역,12:29
345,2025-06-09,열차내 사고,도봉산(7)역,13:21
346,2025-06-08,승강설비관련,충무로(4)역,12:20
347,2025-06-08,역구내 사고,마들역,14:21
348,2025-06-07,출입문관련,신설동(1)역,13:19
349,2025-06-06,출입문관련,경복궁역,12:01
350,2025-06-06,발빠짐,고속터미널(7)역,21:30
351,2025-06-05,출입문관련,수유역,11:43
352,2025-06-04,역구내 사고,공덕(5)역,07:07
353,2025-06-02,역구내 사고,고속터미널(3)역,22:11
354,2025-06-02,승강설비관련,안국역,14:08
355,2025-05-31,출입문관련,건대입구(2)역,22:01
356,2025-05-31,열차내 사고,여의나루역,08:42
357,2025-05-31,출입문관련,삼각지(4)역,15:31
358,2025-05-31,역구내 사고,교대(2)역,14:05
359,2025-05-30,출입문관련,잠원역,18:42
360,2025-05-30,역구내 사고,왕십리(5)역,23:59
361,2025-05-30,승강설비관련,충무로(4)역,06:53
362,2025-05-30,역구내 사고,신당(2)역,08:50
363,2025-05-30,승강설비관련,사당(2)역,08:40
364,2025-05-30,열차내 사고,가산디지털단지(1)역,07:30
365,2025-05-29,출입문관련,삼각지(4)역,06:53
366,2025-05-28,역구내 사고,노원(4)역,17:13
367,2025-05-28,역구내 사고,마들역,20:30
368,2025-05-27,출입문관련,디지털미디어시티역,18:35
369,2025-05-27,출입문관련,구로역,18:06
370,2025-05-27,출입문관련,답십리역,09:01
371,2025-05-26,열차내 사고,동대문역사문화공원(4)역,15:36
372,2025-05-26,승강설비관련,약수(6)역,18:50
373,2025-05-26,역구내 사고,불광(3)역,15:38
374,2025-05-24,역구내 사고,구산역,00:05
375,2025-05-23,출입문관련,교대(3)역,15:08
376,2025-05-22,출입문관련,신도림역,15:49
377,2025-05-22,역구내 사고,버티고개역,08:21
378,2025-05-22,출입문관련,잠실(2)역,08:08
379,2025-05-21,열차내 사고,암사역,06:50
380,2025-05-21,발빠짐,천호(8)역,06:50
381,2025-05-21,역구내 사고,수락산역,16:37
