연번,발생일,사고유형,발생역,발생시간
535,2025-03-01,승강설비관련,온수(7)역,16:10
536,2025-03-01,역구내 사고,광화문역,14:43
537,2025-03-01,승강설비관련,합정(6)역,09:24
538,2025-03-01,열차내 사고,원당역,17:20
539,2025-02-27,열차내 사고,사당(2)역,12:05
540,2025-02-26,열차내 사고,온수(7)역,14:00
541,2025-02-26,발빠짐,동대문역사문화공원(4)역,08:14
542,2025-02-25,역구내 사고,종로3가(3)역,21:55
543,2025-02-25,역구내 사고,구로디지털단지역,12:00
544,2025-02-24,역구내 사고,서울(1)역,16:33
545,2025-02-24,역구내 사고,삼성역,18:00
546,2025-02-22,열차내 사고,구로디지털단지역,08:56
547,2025-02-22,승강설비관련,신당(6)역,10:03
548,2025-02-22,역구내 사고,합정(6)역,09:00
549,2025-02-22,승강설비관련,신당(6)역,10:03
550,2025-02-21,출입문관련,올림픽공원역,08:39
551,2025-02-19,출입문관련,강남역,18:30
552,2025-02-19,발빠짐,동대문역사문화공원(4)역,13:03
553,2025-02-18,승강설비관련,까치산(5)역,22:07
554,2025-02-18,열차내 사고,아차산역,19:48
555,2025-02-18,출입문관련,공덕역,16:38
556,2025-02-15,역구내 사고,녹사평역,21:28
557,2025-02-15,열차내 사고,광화문역,18:25
558,2025-02-15,역구내 사고,이대역,10:00
559,2025-02-15,출입문관련,오목교역,11:32
560,2025-02-15,출입문관련,오목교역,11:57
561,2025-02-15,출입문관련,혜화역,07:49
562,2025-02-14,열차내 사고,양천구청역,19:54
563,2025-02-14,출입문관련,발산역,07:52
564,2025-02-14,역구내 사고,오금(5)역,22:36
565,2025-02-14,출입문관련,왕십리(2)역,19:15
566,2025-02-14,역구내 사고,삼성역,09:07
567,2025-02-14,역구내 사고,행당역,08:49
568,2025-02-14,발빠짐,철산역,18:20
569,2025-02-14,출입문관련,천호(8)역,16:43
570,2025-02-13,발빠짐,발산역,07:31
571,2025-02-13,열차내 사고,상왕십리역,16:05
572,2025-02-13,발빠짐,철산역,18:47
573,2025-02-12,역구내 사고,청구(5)역,16:12
574,2025-02-12,출입문관련,아현역,08:14
575,2025-02-12,출입문관련,동대문역사문화공원(4)역,09:53
576,2025-02-12,역구내 사고,창신역,14:17
577,2025-02-12,발빠짐,동대문역사문화공원(4)역,09:09
578,2025-02-11,역구내 사고,오금(5)역,11:06
579,2025-02-11,열차내 사고,의왕역,17:15
580,2025-02-11,승강설비관련,합정(6)역,10:20
581,2025-02-11,열차내 사고,동대문역사문화공원(5)역,19:31
582,2025-02-11,열차내 사고,신당(2)역,14:37
583,2025-02-10,역구내 사고,상왕십리역,12:10
584,2025-02-10,출입문관련,신도림역,08:00
585,2025-02-09,역구내 사고,충정로(2)역,15:09
586,2025-02-08,역구내 사고,잠실(8)역,14:53
587,2025-02-08,역구내 사고,선릉(2)역,17:30
588,2025-02-08,열차내 사고,구파발(3)역,15:05
589,2025-02-08,출입문관련,연신내(3)역,18:14
590,2025-02-07,출입문관련,동대문역사문화공원(5)역,16:53
591,2025-02-07,승강설비관련,역삼역,08:16
592,2025-02-07,승강설비관련,까치산(5)역,08:15
593,2025-02-07,역구내 사고,시청(1)역,13:04
594,2025-02-07,승강설비관련,답십리역,10:28
595,2025-02-07,역구내 사고,상계역,06:30
596,2025-02-07,출입문관련,강동역,17:31
597,2025-02-07,열차내 사고,이촌역,11:55
598,2025-02-06,승강설비관련,우장산역,22:05
599,2025-02-06,발빠짐,제기동역,16:50
600,2025-02-06,승강설비관련,하남풍산역,18:03
601,2025-02-06,역구내 사고,건대입구(7)역,21:22
602,2025-02-06,발빠짐,동대문역사문화공원(2)역,18:42
603,2025-02-06,승강설비관련,사당(4)역,23:11
604,2025-02-05,승강설비관련,역삼역,08:56
605,2025-02-05,열차내 사고,여의도역,18:26
606,2025-02-04,출입문관련,서울(4)역,21:52
607,2025-02-04,승강설비관련,성신여대입구역,14:50
608,2025-02-04,역구내 사고,안국역,15:12
609,2025-02-04,발빠짐,마포역,18:26
610,2025-02-03,열차내 사고,종로5가역,09:55
611,2025-02-03,출입문관련,성수역,14:15
612,2025-02-02,승강설비관련,신대방삼거리역,09:29
613,2025-02-02,열차내 사고,신풍역,13:46
614,2025-02-01,역구내 사고,구로디지털단지역,12:36
615,2025-02-01,역구내 사고,사당(4)역,08:41
616,2025-02-01,역구내 사고,고덕역,10:56
617,2025-01-31,역구내 사고,장승배기역,08:56
618,2025-01-31,역구내 사고,버티고개역,20:40
619,2025-01-31,발빠짐,서대문역,17:37
620,2025-01-30,승강설비관련,고속터미널(3)역,16:19
621,2025-01-29,승강설비관련,단대오거리역,17:56
622,2025-01-28,승강설비관련,군자(5)역,00:08
623,2025-01-27,승강설비관련,봉화산역,10:19
624,2025-01-27,출입문관련,동대문역사문화공원(5)역,18:40
625,2025-01-25,열차내 사고,코레일 이첩,16:30
626,2025-01-25,발빠짐,서울(4)역,16:21
627,2025-01-25,발빠짐,발산역,16:19
628,2025-01-25,출입문관련,장한평역,11:43
629,2025-01-23,열차내 사고,강동역,15:25
630,2025-01-23,출입문관련,건대입구(7)역,21:30
631,2025-01-23,출입문관련,건대입구(2)역,17:41
632,2025-01-21,발빠짐,서울대입구역,17:50
633,2025-01-20,열차내 사고,온수(7)역,06:49
634,2025-01-20,역구내 사고,옥수역,10:15
635,2025-01-20,출입문관련,약수(3)역,17:20
636,2025-01-18,발빠짐,충정로(2)역,16:20
637,2025-01-18,출입문관련,선릉(2)역,14:25
638,2025-01-17,역구내 사고,선릉(2)역,22:45
639,2025-01-16,열차내 사고,사당(4)역,15:43
640,2025-01-16,역구내 사고,합정(6)역,08:10
641,2025-01-16,승강설비관련,불광(6)역,07:32
642,2025-01-16,역구내 사고,양천구청역,09:39
643,2025-01-15,열차내 사고,군자(5)역,08:30
644,2025-01-14,역구내 사고,대림역,08:22
645,2025-01-13,출입문관련,천호(8)역,08:13
646,2025-01-12,역구내 사고,제기동역,15:46
647,2025-01-11,열차내 사고,서울대입구역,17:20
648,2025-01-10,승강설비관련,청량리역,17:03
649,2025-01-10,출입문관련,노원(4)역,08:09
650,2025-01-10,역구내 사고,합정(6)역,07:28
651,2025-01-10,승강설비관련,오금(3)역,16:52
652,2025-01-08,역구내 사고,문래역,19:30
653,2025-01-08,역구내 사고,신대방역,22:25
654,2025-01-08,발빠짐,동대문역사문화공원(2)역,08:44
655,2025-01-08,열차내 사고,공덕역,08:20
656,2025-01-05,역구내 사고,신대방역,07:50
657,2025-01-03,역구내 사고,학동역,09:10
658,2025-01-02,역구내 사고,여의나루역,11:49
659,2025-01-02,열차내 사고,대림(2)역,18:14
660,2024-12-31,역구내 사고,뚝섬역,15:50
661,2024-12-31,출입문관련,올림픽공원역,15:44
662,2024-12-30,역구내 사고,신풍역,09:37
663,2024-12-30,승강설비관련,제기동역,10:28
664,2024-12-28,승강설비관련,하남풍산역,05:27
665,2024-12-28,열차내 사고,서대문역,18:26
666,2024-12-28,출입문관련,약수(3)역,17:14
667,2024-12-28,출입문관련,동대문역사문화공원(2)역,12:30
668,2024-12-27,발빠짐,동대문역사문화공원(4)역,13:25
669,2024-12-27,역구내 사고,옥수역,18:07
670,2024-12-26,승강설비관련,경복궁역,06:43
671,2024-12-26,열차내 사고,상도역,15:01
672,2024-12-26,역구내 사고,남성역,05:49
673,2024-12-25,발빠짐,동대문역사문화공원(4)역,13:54
674,2024-12-24,출입문관련,잠실새내역,13:40
675,2024-12-23,출입문관련,서울(4)역,19:56
676,2024-12-21,출입문관련,화곡역,11:00
677,2024-12-21,열차내 사고,가락시장(8)역,18:50
678,2024-12-21,기타,지축역,18:43
679,2024-12-21,출입문관련,고속터미널(3)역,11:26
680,2024-12-20,출입문관련,고덕역,17:13
681,2024-12-19,열차내 사고,둔촌동역,20:37
682,2024-12-19,발빠짐,잠실(8)역,19:42
683,2024-12-18,발빠짐,종합운동장역,07:44
684,2024-12-18,열차내 사고,오목교역,18:24
685,2024-12-18,출입문관련,장지역,06:26
686,2024-12-18,출입문관련,동대문역사문화공원(4)역,15:29
687,2024-12-17,역구내 사고,명동역,20:10
688,2024-12-17,출입문관련,사당(2)역,13:33
689,2024-12-16,출입문관련,올림픽공원역,21:04
690,2024-12-16,출입문관련,상봉역,17:40
691,2024-12-16,역구내 사고,광명사거리역,12:42
692,2024-12-16,출입문관련,강동역,18:46
693,2024-12-15,발빠짐,동대문역사문화공원(4)역,13:08
694,2024-12-14,역구내 사고,철산역,20:51
695,2024-12-13,출입문관련,고속터미널(7)역,18:18
696,2024-12-13,역구내 사고,잠원역,22:05
697,2024-12-12,열차내 사고,남한산성입구역,08:25
698,2024-12-12,열차내 사고,문정역,08:23
699,2024-12-12,열차내 사고,자양역,08:25
700,2024-12-11,역구내 사고,한성대입구역,11:12
701,2024-12-11,출입문관련,오목교역,17:15
702,2024-12-11,발빠짐,합정(6)역,08:46
703,2024-12-10,출입문관련,구로역,18:54
704,2024-12-10,열차내 사고,이수(4)역,10:11
705,2024-12-09,출입문관련,회현역,19:07
706,2024-12-09,출입문관련,평촌역,16:59
707,2024-12-09,역구내 사고,잠실(2)역,05:57
708,2024-12-09,출입문관련,숭실대입구역,08:20
709,2024-12-08,출입문관련,청담역,11:08
710,2024-12-07,기타,고속터미널(3)역,08:54
711,2024-12-07,승강설비관련,시청(2)역,20:16
712,2024-12-06,역구내 사고,온수역,21:47
713,2024-12-06,발빠짐,종로3가(3)역,16:58
714,2024-12-06,발빠짐,발산역,15:19
715,2024-12-06,역구내 사고,회현역,07:31
716,2024-12-06,출입문관련,제기동역,14:18
717,2024-12-06,역구내 사고,월곡역,14:10
718,2024-12-05,승강설비관련,합정(6)역,19:22
719,2024-12-05,출입문관련,구로역,18:54
720,2024-12-05,출입문관련,답십리역,11:18
721,2024-12-04,역구내 사고,신도림역,14:20
722,2024-12-04,발빠짐,성신여대입구역,20:52
723,2024-12-04,출입문관련,동대문(4)역,11:28
724,2024-12-03,발빠짐,동대문역사문화공원(5)역,22:19
725,2024-12-03,출입문관련,고속터미널(3)역,15:10
726,2024-12-02,열차내 사고,시청(2)역,08:35
727,2024-12-02,발빠짐,압구정역,18:17
728,2024-12-02,열차내 사고,강변역,08:25
729,2024-12-02,발빠짐,신사역,20:00
730,2024-12-02,열차내 사고,을지로입구역,11:14
731,2024-12-01,발빠짐,발산역,22:23
732,2024-11-30,역구내 사고,청담역,23:50
733,2024-11-30,출입문관련,남부터미널역,13:30
734,2024-11-29,역구내 사고,역삼(2)역,06:00
735,2024-11-29,역구내 사고,구의역,18:09
736,2024-11-29,승강설비관련,삼성역,09:33
737,2024-11-29,승강설비관련,노원(4)역,11:31
738,2024-11-28,역구내 사고,양천구청역,06:53
739,2024-11-28,역구내 사고,온수(7)역,07:45
740,2024-11-28,역구내 사고,한성대입구역,11:43
741,2024-11-28,출입문관련,불광(3)역,13:03
742,2024-11-27,출입문관련,무악재역,08:04
743,2024-11-27,발빠짐,철산역,07:54
744,2024-11-27,열차내 사고,왕십리(5)역,08:09
745,2024-11-27,승강설비관련,수서역,15:01
746,2024-11-27,승강설비관련,역삼역,18:04
747,2024-11-27,승강설비관련,몽촌토성역,08:16
748,2024-11-26,승강설비관련,약수(6)역,16:31
749,2024-11-26,열차내 사고,건대입구(7)역,17:25
750,2024-11-26,열차내 사고,화곡역,19:34
751,2024-11-26,열차내 사고,자양역,17:01
752,2024-11-26,기타,노원(4)역,07:15
753,2024-11-26,역구내 사고,명일역,11:53
754,2024-11-25,발빠짐,고속터미널(7)역,12:59
755,2024-11-23,출입문관련,홍대입구역,17:53
756,2024-11-23,역구내 사고,종로3가(5)역,21:43
757,2024-11-23,승강설비관련,종로3가(1)역,14:06
758,2024-11-23,출입문관련,매봉역,08:16
759,2024-11-23,발빠짐,철산역,09:09
760,2024-11-23,출입문관련,송파역,10:13
761,2024-11-22,발빠짐,압구정역,18:12
762,2024-11-22,발빠짐,경복궁역,18:59
763,2024-11-22,발빠짐,철산역,09:27
764,2024-11-21,열차내 사고,마곡역,14:32
765,2024-11-20,발빠짐,합정(6)역,08:06
766,2024-11-19,출입문관련,올림픽공원역,12:54
767,2024-11-19,역구내 사고,동대문(4)역,12:30
768,2024-11-17,출입문관련,중앙역,15:57
769,2024-11-16,열차내 사고,중계역,16:38
770,2024-11-16,발빠짐,고속터미널(7)역,16:38
771,2024-11-16,출입문관련,미아역,11:38
772,2024-11-15,열차내 사고,구로디지털단지역,17:50
773,2024-11-15,열차내 사고,구로디지털단지역,17:50
774,2024-11-14,출입문관련,이수(4)역,17:53
775,2024-11-14,열차내 사고,대림(7)역,17:45
776,2024-11-14,출입문관련,창동역,18:00
777,2024-11-14,출입문관련,천호(5)역,08:38
778,2024-11-12,출입문관련,동대입구역,18:21
779,2024-11-12,출입문관련,미아사거리역,09:42
780,2024-11-12,열차내 사고,삼성역,09:10
781,2024-11-12,출입문관련,미아사거리역,21:29
782,2024-11-12,출입문관련,길동역,18:50
783,2024-11-11,역구내 사고,약수(6)역,07:33
784,2024-11-09,출입문관련,석촌역,17:30
785,2024-11-09,승강설비관련,고속터미널(3)역,18:07
786,2024-11-08,열차내 사고,까치산(5)역,20:52
787,2024-11-08,출입문관련,서울대입구역,08:26
788,2024-11-07,출입문관련,천호(8)역,17:57
789,2024-11-06,발빠짐,회현역,10:33
790,2024-11-05,열차내 사고,대림(2)역,18:35
791,2024-11-05,승강설비관련,까치산(5)역,14:56
792,2024-11-05,역구내 사고,충무로(3)역,14:45
793,2024-11-05,승강설비관련,까치산(5)역,14:56
794,2024-11-04,발빠짐,동대문역사문화공원(4)역,18:40
795,2024-11-04,역구내 사고,문래역,13:35
796,2024-11-03,역구내 사고,오금(5)역,12:06
797,2024-11-02,출입문관련,신당(2)역,15:08
798,2024-11-02,발빠짐,수서역,11:31
799,2024-11-01,출입문관련,군자(5)역,16:33
800,2024-11-01,출입문관련,신림역,17:17
801,2024-11-01,역구내 사고,이대역,07:36
802,2024-10-31,역구내 사고,신답역,12:45
803,2024-10-31,출입문관련,사당(4)역,16:57
804,2024-10-31,열차내 사고,장암역,08:38
805,2024-10-30,열차내 사고,신대방삼거리역,08:30
806,2024-10-30,출입문관련,잠실(2)역,17:48
807,2024-10-29,승강설비관련,수서역,12:43
808,2024-10-26,역구내 사고,왕십리(2)역,00:56
809,2024-10-26,출입문관련,강동역,11:26
810,2024-10-25,발빠짐,압구정역,15:57
811,2024-10-25,출입문관련,교대(2)역,09:50
812,2024-10-24,출입문관련,영등포구청(2)역,17:35
813,2024-10-24,출입문관련,미아역,16:43
814,2024-10-23,열차내 사고,일원역,10:10
815,2024-10-23,역구내 사고,굽은다리역,13:24
816,2024-10-22,역구내 사고,남부터미널역,08:55
817,2024-10-22,역구내 사고,시청(1)역,17:11
818,2024-10-22,열차내 사고,도봉산(7)역,06:13
819,2024-10-22,발빠짐,무악재역,08:46
820,2024-10-21,출입문관련,강변역,12:28
821,2024-10-21,승강설비관련,약수(6)역,15:20
822,2024-10-20,열차내 사고,사당(4)역,10:58
823,2024-10-19,역구내 사고,수락산역,14:08
824,2024-10-19,발빠짐,충무로(3)역,23:29
825,2024-10-19,역구내 사고,청량리역,18:20
826,2024-10-19,열차내 사고,장자호수공원역,10:35
827,2024-10-19,승강설비관련,남성역,17:42
828,2024-10-18,역구내 사고,이대역,12:40
829,2024-10-18,역구내 사고,을지로3가(3)역,10:52
830,2024-10-18,열차내 사고,올림픽공원역,18:13
831,2024-10-18,출입문관련,구파발(3)역,16:27
832,2024-10-18,출입문관련,군자(5)역,07:46
833,2024-10-18,열차내 사고,석촌역,16:47
834,2024-10-18,출입문관련,동대문역사문화공원(5)역,18:37
835,2024-10-18,열차내 사고,오목교역,18:47
836,2024-10-17,발빠짐,사가정역,08:22
837,2024-10-16,출입문관련,을지로입구역,12:35
838,2024-10-15,발빠짐,발산역,16:17
839,2024-10-15,출입문관련,천호(5)역,12:08
840,2024-10-15,출입문관련,홍대입구역,08:37
841,2024-10-15,발빠짐,시청(2)역,18:59
842,2024-10-14,발빠짐,당산역,08:01
843,2024-10-14,발빠짐,면목역,07:52
844,2024-10-14,역구내 사고,잠원역,07:26
845,2024-10-14,출입문관련,혜화역,16:56
846,2024-10-12,출입문관련,동대입구역,16:42
847,2024-10-12,발빠짐,여의나루역,22:00
848,2024-10-12,출입문관련,숙대입구역,10:05
849,2024-10-11,출입문관련,답십리역,15:25
850,2024-10-11,출입문관련,종로3가(5)역,15:25
851,2024-10-11,열차내 사고,불광(3)역,13:02
852,2024-10-11,열차내 사고,역삼역,12:18
853,2024-10-10,출입문관련,신대방역,12:53
854,2024-10-10,발빠짐,연신내(6)역,16:46
855,2024-10-09,출입문관련,천호(5)역,09:56
856,2024-10-08,승강설비관련,잠실나루역,11:32
857,2024-10-08,출입문관련,하남시청역,17:04
858,2024-10-06,역구내 사고,동작역,22:34
859,2024-10-05,발빠짐,성신여대입구역,18:04
860,2024-10-04,역구내 사고,고속터미널(3)역,16:27
861,2024-10-04,역구내 사고,충무로(4)역,15:09
862,2024-10-03,역구내 사고,서초역,16:20
863,2024-10-02,출입문관련,가산디지털단지(7)역,18:31
864,2024-10-02,출입문관련,신정네거리역,09:08
865,2024-10-01,발빠짐,성신여대입구역,15:50
866,2024-09-30,열차내 사고,구파발(3)역,09:16
867,2024-09-30,출입문관련,미아역,16:53
868,2024-09-29,출입문관련,종로3가(3)역,13:59
869,2024-09-29,열차내 사고,오금(3)역,12:47
870,2024-09-28,출입문관련,사당(2)역,17:55
871,2024-09-27,승강설비관련,경찰병원역,11:51
872,2024-09-26,열차내 사고,경복궁역,22:36
873,2024-09-26,출입문관련,수서역,18:17
874,2024-09-24,발빠짐,서울(1)역,06:29
875,2024-09-24,열차내 사고,마곡역,13:26
876,2024-09-23,출입문관련,강동역,09:26
877,2024-09-23,열차내 사고,동대문역사문화공원(2)역,08:20
878,2024-09-23,출입문관련,목동역,16:54
879,2024-09-23,역구내 사고,안국역,15:00
880,2024-09-22,역구내 사고,강남역,18:14
881,2024-09-21,열차내 사고,천호(5)역,08:35
882,2024-09-21,출입문관련,충무로(4)역,18:27
883,2024-09-20,출입문관련,서울대입구역,18:19
884,2024-09-17,역구내 사고,불암산역,22:40
885,2024-09-17,역구내 사고,신설동(2)역,13:33
886,2024-09-15,출입문관련,가산디지털단지(7)역,16:40
887,2024-09-14,기타,토목사업소,14:00
888,2024-09-14,출입문관련,장암역,19:48
889,2024-09-13,발빠짐,화곡역,17:37
890,2024-09-13,열차내 사고,학여울역,17:33
891,2024-09-13,열차내 사고,시청(1)역,18:30
892,2024-09-12,열차내 사고,양평역,07:14
893,2024-09-12,역구내 사고,연신내(3)역,09:45
894,2024-09-12,출입문관련,종로3가(1)역,17:09
895,2024-09-11,열차내 사고,잠실새내역,14:20
896,2024-09-11,발빠짐,동대문역사문화공원(5)역,23:10
897,2024-09-11,출입문관련,이수(4)역,17:34
898,2024-09-11,발빠짐,신촌역,17:03
899,2024-09-11,출입문관련,철산역,08:36
900,2024-09-10,역구내 사고,상봉역,08:10
901,2024-09-10,열차내 사고,상봉역,08:30
902,2024-09-10,승강설비관련,신림역,15:31
903,2024-09-09,출입문관련,을지로3가(2)역,22:19
904,2024-09-07,출입문관련,신도림역,16:48
905,2024-09-07,발빠짐,신촌역,23:18
906,2024-09-07,출입문관련,오목교역,17:49
907,2024-09-07,출입문관련,오목교역,17:49
908,2024-09-07,열차내 사고,합정(2)역,13:43
909,2024-09-07,출입문관련,오목교역,17:49
910,2024-09-06,발빠짐,동대문역사문화공원(4)역,17:47
911,2024-09-05,열차내 사고,모란역,14:49
912,2024-09-05,열차내 사고,봉천역,09:24
913,2024-09-04,출입문관련,건대입구(7)역,10:32
914,2024-09-04,열차내 사고,제기동역,10:32
915,2024-09-03,역구내 사고,건대입구(7)역,06:02
916,2024-08-30,출입문관련,혜화역,06:19
917,2024-08-30,출입문관련,홍대입구역,16:30
918,2024-08-29,승강설비관련,교대(3)역,17:29
919,2024-08-29,출입문관련,교대(2)역,14:42
920,2024-08-28,열차내 사고,매봉역,07:44
921,2024-08-28,출입문관련,왕십리(2)역,16:03
922,2024-08-28,출입문관련,중계역,17:50
923,2024-08-28,출입문관련,중곡역,17:31
924,2024-08-28,발빠짐,합정(6)역,08:28
925,2024-08-27,열차내 사고,마포구청역,09:28
926,2024-08-27,출입문관련,남부터미널역,14:44
927,2024-08-27,승강설비관련,강남구청역,18:19
928,2024-08-26,역구내 사고,신촌역,02:00
929,2024-08-26,승강설비관련,안국역,09:57
930,2024-08-26,출입문관련,남구로역,15:21
931,2024-08-26,출입문관련,서울(1)역,14:50
932,2024-08-24,발빠짐,신촌역,20:17
933,2024-08-23,역구내 사고,약수(3)역,08:22
934,2024-08-23,역구내 사고,천호(5)역,18:28
935,2024-08-23,발빠짐,고속터미널(7)역,15:01
936,2024-08-22,열차내 사고,왕십리(2)역,14:00
937,2024-08-22,승강설비관련,고속터미널(7)역,16:17
938,2024-08-21,승강설비관련,노원(4)역,12:12
939,2024-08-21,기타,천호(5)역,10:05
940,2024-08-21,역구내 사고,녹번역,08:40
941,2024-08-21,출입문관련,발산역,13:36
942,2024-08-21,승강설비관련,청담역,06:25
943,2024-08-21,역구내 사고,목동역,14:46
944,2024-08-20,열차내 사고,잠실(2)역,18:32
945,2024-08-20,출입문관련,약수(3)역,12:25
946,2024-08-20,출입문관련,교대(3)역,18:32
947,2024-08-20,출입문관련,잠실새내역,18:46
948,2024-08-20,열차내 사고,굽은다리역,22:27
949,2024-08-19,출입문관련,대방역,15:34
950,2024-08-19,출입문관련,중동역,12:25
951,2024-08-19,역구내 사고,시청(2)역,18:02
952,2024-08-19,발빠짐,경복궁역,07:57
953,2024-08-18,출입문관련,회현역,15:40
954,2024-08-18,역구내 사고,태릉입구역,11:30
955,2024-08-18,출입문관련,구로디지털단지역,10:08
956,2024-08-18,발빠짐,동대문역사문화공원(4)역,17:12
957,2024-08-16,열차내 사고,고속터미널(3)역,08:50
958,2024-08-16,출입문관련,발산역,08:02
959,2024-08-16,출입문관련,하남시청역,18:55
960,2024-08-15,출입문관련,교대(3)역,19:58
961,2024-08-14,출입문관련,화곡역,11:39
962,2024-08-14,출입문관련,명일역,15:24
963,2024-08-13,출입문관련,약수(3)역,09:29
964,2024-08-13,출입문관련,이수(7)역,15:32
965,2024-08-13,출입문관련,신당(2)역,08:30
966,2024-08-12,열차내 사고,여의나루역,18:37
967,2024-08-10,열차내 사고,청구(5)역,11:51
968,2024-08-10,출입문관련,광화문역,15:12
969,2024-08-10,출입문관련,창동역,09:25
970,2024-08-09,승강설비관련,공덕(6)역,07:57
971,2024-08-09,승강설비관련,성수역,18:15
972,2024-08-09,열차내 사고,종로3가(3)역,08:39
973,2024-08-09,출입문관련,올림픽공원역,13:37
974,2024-08-09,승강설비관련,건대입구(7)역,16:26
975,2024-08-09,승강설비관련,충정로(2)역,08:46
976,2024-08-07,열차내 사고,성수역,16:14
977,2024-08-03,출입문관련,천호(5)역,11:35
978,2024-08-02,승강설비관련,청량리역,09:24
979,2024-08-02,출입문관련,봉화산역,09:36
980,2024-08-01,역구내 사고,신당(6)역,21:30
981,2024-08-01,발빠짐,경찰병원역,15:04
982,2024-08-01,발빠짐,종합운동장역,17:16
983,2024-07-31,출입문관련,이수(4)역,15:54
984,2024-07-31,출입문관련,이수(4)역,15:54
985,2024-07-31,출입문관련,노원(4)역,18:56
986,2024-07-31,출입문관련,길동역,20:49
987,2024-07-30,역구내 사고,공덕역,18:21
988,2024-07-29,발빠짐,을지로4가(2)역,08:12
989,2024-07-29,출입문관련,종로5가역,14:33
990,2024-07-28,발빠짐,동대문(4)역,10:34
991,2024-07-27,승강설비관련,사가정역,16:18
992,2024-07-27,출입문관련,을지로4가(2)역,15:37
993,2024-07-26,발빠짐,동대문역사문화공원(4)역,11:43
994,2024-07-26,출입문관련,상일동역,12:01
995,2024-07-26,역구내 사고,청담역,16:56
996,2024-07-26,역구내 사고,온수(7)역,16:56
997,2024-07-25,출입문관련,쌍문역,19:33
998,2024-07-25,열차내 사고,안국역,12:14
999,2024-07-25,출입문관련,군자(5)역,14:43
1000,2024-07-25,출입문관련,구파발(3)역,15:10
1001,2024-07-25,역구내 사고,건대입구(2)역,07:55
1002,2024-07-23,출입문관련,신길역,17:48
1003,2024-07-22,승강설비관련,하계역,15:19
1004,2024-07-22,출입문관련,코레일,19:04
1005,2024-07-22,역구내 사고,온수(7)역,12:44
1006,2024-07-22,열차내 사고,동인천역,14:15
1007,2024-07-22,출입문관련,신도림역,07:33
1008,2024-07-22,출입문관련,강동역,08:09
1009,2024-07-22,발빠짐,고속터미널(7)역,21:20
1010,2024-07-21,출입문관련,방화역,19:50
1011,2024-07-21,출입문관련,청량리역,14:29
1012,2024-07-21,출입문관련,잠실(2)역,19:17
1013,2024-07-21,승강설비관련,서울(4)역,10:46
1014,2024-07-20,역구내 사고,건대입구(2)역,14:46
1015,2024-07-20,역구내 사고,녹번역,14:20
1016,2024-07-20,열차내 사고,상계역,17:44
1017,2024-07-19,출입문관련,신용산역,08:00
1018,2024-07-19,열차내 사고,문정역,11:55
1019,2024-07-19,역구내 사고,신대방삼거리역,16:00
1020,2024-07-19,발빠짐,충정로(5)역,13:35
1021,2024-07-19,출입문관련,군자(5)역,20:04
1022,2024-07-19,열차내 사고,대흥역,07:41
1023,2024-07-19,출입문관련,애오개역,18:56
1024,2024-07-19,열차내 사고,교대(3)역,14:39
1025,2024-07-19,출입문관련,연신내(3)역,19:02
1026,2024-07-19,출입문관련,교대(3)역,22:13
1027,2024-07-19,역구내 사고,내방역,14:11
1028,2024-07-18,열차내 사고,종로3가(3)역,08:13
1029,2024-07-18,역구내 사고,아차산역,08:57
1030,2024-07-18,승강설비관련,양재역,15:00
1031,2024-07-18,출입문관련,사당(2)역,14:40
1032,2024-07-17,열차내 사고,남성역,12:41
1033,2024-07-17,역구내 사고,길동역,08:20
1034,2024-07-17,출입문관련,이수(4)역,12:20
1035,2024-07-17,역구내 사고,길동역,08:20
1036,2024-07-16,열차내 사고,천호(8)역,18:26
1037,2024-07-16,출입문관련,방화역,08:06
1038,2024-07-16,발빠짐,고속터미널(3)역,18:30
1039,2024-07-16,출입문관련,미아사거리역,12:19
1040,2024-07-15,승강설비관련,천왕역,13:30
1041,2024-07-15,출입문관련,철산역,12:16
1042,2024-07-15,역구내 사고,역삼역,15:58
1043,2024-07-13,출입문관련,공덕(5)역,05:52
1044,2024-07-13,출입문관련,봉화산역,10:11
1045,2024-07-12,승강설비관련,영등포구청(5)역,08:30
1046,2024-07-11,역구내 사고,상일동역,09:24
1047,2024-07-11,출입문관련,사가정역,16:44
1048,2024-07-10,출입문관련,삼각지(4)역,09:11
1049,2024-07-10,출입문관련,혜화역,18:36
1050,2024-07-09,열차내 사고,상일동역,08:45
1051,2024-07-09,승강설비관련,숭실대입구역,14:06
1052,2024-07-09,출입문관련,남한산성입구역,16:05
1053,2024-07-08,출입문관련,상봉역,21:08
1054,2024-07-08,승강설비관련,선릉역,18:50
1055,2024-07-08,승강설비관련,사가정역,15:31
1056,2024-07-08,역구내 사고,동대문역사문화공원(4)역,11:19
1057,2024-07-08,승강설비관련,청담역,16:33
1058,2024-07-06,역구내 사고,낙성대역,01:00
1059,2024-07-06,출입문관련,거여역,13:43
1060,2024-07-06,출입문관련,강남역,11:09
1061,2024-07-05,역구내 사고,철산역,22:56
1062,2024-07-05,열차내 사고,양재역,09:24
1063,2024-07-05,역구내 사고,합정(6)역,07:14
1064,2024-07-05,출입문관련,천왕역,12:45
1065,2024-07-05,역구내 사고,역삼역,05:28
1066,2024-07-05,발빠짐,고속터미널(7)역,19:52
1067,2024-07-04,출입문관련,몽촌토성역,15:40
1068,2024-07-04,출입문관련,대림(7)역,11:08
